HGNC:9829	MONDO:0015470|MONDO:0018997|MONDO:0007893|MONDO:0012691|MONDO:0012690|MONDO:0014396
HGNC:9823	MONDO:0003582
HGNC:9826	MONDO:0011508
HGNC:9832	MONDO:0009306|MONDO:0011338|MONDO:0011086
HGNC:9834	MONDO:0008434
HGNC:9864	MONDO:0012883
HGNC:9498	MONDO:0009591|MONDO:0009590|MONDO:0012517|MONDO:0012719|MONDO:0012720|MONDO:0016089|MONDO:0017729|MONDO:0017730
HGNC:9490	MONDO:0009173
HGNC:9475	MONDO:0008185|MONDO:0018989
HGNC:9476	MONDO:0010829|MONDO:0014768|MONDO:0018832
HGNC:9477	MONDO:0019502|MONDO:0009580
HGNC:9479	MONDO:0010879|MONDO:0010717
HGNC:9545	MONDO:0009726|MONDO:0054698
HGNC:9538	MONDO:0030924
HGNC:9508	MONDO:0015470|MONDO:0015140|MONDO:0008243|MONDO:0010857|MONDO:0011913|MONDO:0013371|MONDO:0015059|MONDO:0017160
HGNC:9509	MONDO:0015470|MONDO:0015140|MONDO:0011743|MONDO:0013373
HGNC:9577	MONDO:0013531
HGNC:9585	MONDO:0007187|MONDO:0011556|MONDO:0012562|MONDO:0016355|MONDO:0017218|MONDO:0017219|MONDO:0019758|MONDO:0019757|MONDO:0019756
HGNC:9587	MONDO:0007892
HGNC:9588	MONDO:0023122|MONDO:0016063|MONDO:0044705|MONDO:0044704|MONDO:0044740|MONDO:0044638|MONDO:0021427|MONDO:0004958|MONDO:0005595|MONDO:0007924|MONDO:0008318|MONDO:0008021|MONDO:0011738|MONDO:0011537|MONDO:0015293|MONDO:0017571|MONDO:0018338|MONDO:0019002
HGNC:9580	MONDO:0011462|MONDO:0016676
HGNC:9586	MONDO:0007959|MONDO:0007187|MONDO:0011556|MONDO:0013300
HGNC:9557	MONDO:0060596|MONDO:0054591
HGNC:9655	MONDO:0019087
HGNC:9645	MONDO:0005575
HGNC:9647	MONDO:0013324
HGNC:9666	MONDO:0012163|MONDO:0015702
HGNC:9644	MONDO:0100082|MONDO:0018997|MONDO:0007979|MONDO:0007893|MONDO:0008104|MONDO:0011908
HGNC:9639	MONDO:0009711
HGNC:9689	MONDO:0009863
HGNC:9670	MONDO:0015855
HGNC:9673	MONDO:0005575
HGNC:9678	MONDO:0013619|MONDO:0019006
HGNC:9679	MONDO:0019588|MONDO:0019587|MONDO:0033260|MONDO:0013249
HGNC:9603	MONDO:0007781
HGNC:9606	MONDO:0007796|MONDO:0016000
HGNC:9607	MONDO:0019677|MONDO:0013244
HGNC:9608	MONDO:0007982|MONDO:0007434|MONDO:0008145|MONDO:0008970|MONDO:0010803
HGNC:9688	MONDO:0013225|MONDO:0018883
HGNC:22082	MONDO:0010684
HGNC:22197	MONDO:0013342
HGNC:22140	MONDO:0009821
HGNC:9990	MONDO:0019200|MONDO:0013414
HGNC:9986	MONDO:0008855
HGNC:9987	MONDO:0008855
HGNC:9988	MONDO:0008855
HGNC:9921	MONDO:0019200
HGNC:9922	MONDO:0000170|MONDO:0014060|MONDO:0014635
HGNC:9940	MONDO:0007639
HGNC:9936	MONDO:0015993|MONDO:0010563|MONDO:0010565
HGNC:9905	MONDO:0010121
HGNC:22219	MONDO:0019200|MONDO:0032834
HGNC:9964	MONDO:0054831|MONDO:0015452
HGNC:9965	MONDO:0014857
HGNC:9967	MONDO:0018309|MONDO:0020493|MONDO:0007958|MONDO:0008233|MONDO:0008234|MONDO:0008082|MONDO:0008852|MONDO:0015986|MONDO:0019636
HGNC:9966	MONDO:0016070|MONDO:0033493
HGNC:9969	MONDO:0044720|MONDO:0013809
HGNC:9942	MONDO:0015993|MONDO:0019200|MONDO:0020381|MONDO:0020382|MONDO:0024561|MONDO:0007639|MONDO:0008210|MONDO:0008982|MONDO:0011979|MONDO:0011974|MONDO:0013137|MONDO:0018877
HGNC:9944	MONDO:0019588|MONDO:0012602
HGNC:9949	MONDO:0009039|MONDO:0009955|MONDO:0016369
HGNC:9957	MONDO:0009760|MONDO:0010898
HGNC:9958	MONDO:0009970|MONDO:0013128
HGNC:9968	MONDO:0008006
HGNC:20001	MONDO:0011369|MONDO:0018328
HGNC:20041	MONDO:0019200|MONDO:0019516|MONDO:0014653
HGNC:20039	MONDO:0015470
HGNC:20087	MONDO:0019200|MONDO:0015229|MONDO:0014436
HGNC:20080	MONDO:0018998
HGNC:20091	MONDO:0017173
HGNC:20093	MONDO:0014877|MONDO:0018834
HGNC:20134	MONDO:0014804|MONDO:0014803
HGNC:20105	MONDO:0009168
HGNC:20122	MONDO:0018393
HGNC:20145	MONDO:0021019|MONDO:0010435
HGNC:20151	MONDO:0019587|MONDO:0011568
HGNC:20185	MONDO:0044321
HGNC:20188	MONDO:0016575|MONDO:0012918
HGNC:20197	MONDO:0009953
